Период;Контрагент;ТМ;Количество;Стоимость;Валовый Доход;Тип
2022-11-05;ИМ;Thomas Munz;123.0;603604.0;374821.2;Прогноз
2022-11-05;ИМ;ПТМ;8.0;44027.0;22845.92;Прогноз
2022-11-05;Ламода;Salamander;141.0;1165994.0;797294.88;Прогноз
2022-11-05;Ламода;Thomas Munz;904.0;4364106.0;2814619.96;Прогноз
2022-11-05;Ламода;ПТМ;84.0;591914.0;358784.66;Прогноз
2022-11-05;ОЗОН;Salamander;4.0;25187.0;16844.54;Прогноз
2022-11-05;ОЗОН;Thomas Munz;110.0;480847.0;292256.07;Прогноз
2022-11-06;Вайлдберриз;Salamander;77.0;723758.4;521234.39;Прогноз
2022-11-06;Вайлдберриз;Thomas Munz;654.0;2665507.61;1683388.71;Прогноз
2022-11-06;ИМ;Salamander;11.0;86387.0;60950.99;Прогноз
2022-11-06;ИМ;Thomas Munz;131.0;666656.0;417062.64;Прогноз
2022-11-06;ИМ;ПТМ;7.0;42424.0;23011.74;Прогноз
2022-11-06;Ламода;Salamander;162.0;1364884.0;950335.38;Прогноз
2022-11-06;Ламода;Thomas Munz;894.0;4389116.0;2815514.0700000008;Прогноз
2022-11-06;Ламода;ПТМ;103.0;738496.0;450831.34;Прогноз
2022-11-06;ОЗОН;Salamander;3.0;16197.0;9981.5;Прогноз
2022-11-06;ОЗОН;Thomas Munz;152.0;632043.0;383019.82;Прогноз
2022-11-07;Вайлдберриз;Salamander;96.0;880437.4;648193.08;Прогноз
2022-11-07;Вайлдберриз;Thomas Munz;696.0;2853783.38;1815097.22;Прогноз
2022-11-07;ИМ;Salamander;13.0;105816.0;75185.85;Прогноз
2022-11-07;ИМ;Thomas Munz;120.0;609669.0;372533.24;Прогноз
2022-11-07;ИМ;ПТМ;9.0;57327.0;31829.93;Прогноз
2022-11-07;Ламода;Salamander;143.0;1188578.0;831524.66;Прогноз
2022-11-07;Ламода;Thomas Munz;834.0;4017646.0;2596523.97;Прогноз
2022-11-07;Ламода;ПТМ;95.0;651230.0;400685.46;Прогноз
2022-11-07;ОЗОН;Salamander;2.0;5829.0;3588.2;Прогноз
2022-11-07;ОЗОН;Thomas Munz;148.0;595854.0;361758.29;Прогноз
2022-11-08;Вайлдберриз;Salamander;87.0;781815.2;564946.94;Прогноз
2022-11-08;Вайлдберриз;Thomas Munz;631.0;2623077.63;1681314.37;Прогноз
2022-11-08;ИМ;Salamander;5.0;37406.0;24784.26;Прогноз
